date,ninsee,no2,o3,pm10
01/04/2018,78107,15,38,19
01/04/2018,78108,10,40,15
01/04/2018,78113,14,36,20
01/04/2018,78117,16,40,19
01/04/2018,78118,17,36,19
01/04/2018,78120,9,40,15
01/04/2018,78123,16,37,19
01/04/2018,78124,22,35,20
01/04/2018,78125,8,40,15
01/04/2018,78126,18,38,19
01/04/2018,78128,8,40,15
01/04/2018,78133,15,38,19
01/04/2018,78138,16,37,20
01/04/2018,78140,15,37,20
01/04/2018,78143,12,40,19
01/04/2018,78146,19,36,19
01/04/2018,78147,13,37,19
01/04/2018,78152,12,39,19
01/04/2018,78158,17,38,19
01/04/2018,78160,10,40,19
01/04/2018,78162,9,40,17
01/04/2018,78163,13,39,17
01/04/2018,78164,7,40,15
01/04/2018,78165,12,39,19
01/04/2018,78168,10,40,17
01/04/2018,78171,11,40,15
01/04/2018,78172,18,36,20
01/04/2018,78185,14,38,17
01/04/2018,78188,13,38,19
01/04/2018,78189,14,38,19
01/04/2018,78190,18,37,19
01/04/2018,78192,15,39,19
01/04/2018,78193,9,40,17
01/04/2018,78194,11,40,15
01/04/2018,78196,13,38,19
01/04/2018,78202,15,35,20
01/04/2018,78206,15,37,20
01/04/2018,78208,11,40,19
01/04/2018,78209,8,40,14
01/04/2018,78217,14,37,20
01/04/2018,78220,10,40,17
01/04/2018,78224,15,38,19
01/04/2018,78227,14,36,20
01/04/2018,78230,14,37,19
01/04/2018,78231,16,37,19
01/04/2018,78233,14,38,19
01/04/2018,78234,15,38,19
01/04/2018,78236,13,39,19
01/04/2018,78237,13,39,17
01/04/2018,78238,14,37,20
01/04/2018,78239,17,36,20
01/04/2018,78242,13,39,19
01/04/2018,78245,16,37,19
01/04/2018,78246,16,36,20
01/04/2018,78251,15,38,19
01/04/2018,78255,15,36,20
01/04/2018,78261,14,36,20
01/04/2018,78262,11,39,17
01/04/2018,78263,12,40,17
01/04/2018,78264,11,40,17
01/04/2018,78265,12,39,17
01/04/2018,78267,14,36,20
01/04/2018,78269,9,40,15
01/04/2018,78276,15,36,20
01/04/2018,78278,13,38,19
01/04/2018,78281,14,37,19
01/04/2018,78283,10,40,15
01/04/2018,78285,12,40,17
01/04/2018,78289,12,40,17
01/04/2018,78290,17,36,19
01/04/2018,78291,16,37,19
01/04/2018,78296,15,36,20
01/04/2018,78297,12,40,19
01/04/2018,78299,14,36,20
01/04/2018,78300,14,38,19
01/04/2018,78302,10,40,15
01/04/2018,78305,14,38,19
01/04/2018,78307,9,40,14
01/04/2018,78310,11,40,17
01/04/2018,78311,22,35,20
01/04/2018,78314,15,36,20
01/04/2018,78317,13,36,20
01/04/2018,78320,14,37,19
01/04/2018,78321,11,39,17
01/04/2018,78322,18,40,20
01/04/2018,78324,16,37,19
01/04/2018,78325,14,38,19
01/04/2018,78327,14,36,20
01/04/2018,78329,13,36,20
01/04/2018,78334,9,40,17
01/04/2018,78335,17,36,20
01/04/2018,78337,14,36,19
01/04/2018,78343,15,40,19
01/04/2018,78344,14,38,19
01/04/2018,78346,14,38,19
01/04/2018,78349,9,40,15
01/04/2018,78350,17,38,19
01/04/2018,78354,17,36,19
01/04/2018,78356,12,40,19
01/04/2018,78358,20,36,20
01/04/2018,78361,17,36,19
01/04/2018,78362,17,36,19
01/04/2018,78364,12,38,19
01/04/2018,78366,11,39,17
01/04/2018,78367,15,38,19
01/04/2018,78368,13,38,19
01/04/2018,78372,16,38,19
01/04/2018,78380,14,38,19
01/04/2018,78381,11,40,17
01/04/2018,78382,16,37,20
01/04/2018,78383,10,40,17
01/04/2018,78384,15,37,20
01/04/2018,78385,15,37,19
01/04/2018,78389,11,40,17
01/04/2018,78391,16,36,19
01/04/2018,78396,19,36,20
01/04/2018,78397,10,40,17
01/04/2018,78398,10,40,17
01/04/2018,78401,14,36,20
01/04/2018,78402,15,37,19
01/04/2018,78403,14,36,20
01/04/2018,78404,12,40,17
01/04/2018,78406,11,40,19
01/04/2018,78407,10,40,14
01/04/2018,78410,16,36,20
01/04/2018,78413,13,39,17
01/04/2018,78415,13,38,19
01/04/2018,78416,13,36,20
01/04/2018,78417,15,39,19
01/04/2018,78418,20,36,20
01/04/2018,78420,11,40,17
01/04/2018,78423,11,40,19
01/04/2018,78431,15,38,19
01/04/2018,78437,16,36,20
01/04/2018,78439,14,39,17
01/04/2018,78440,15,37,20
01/04/2018,78442,11,39,17
01/04/2018,78443,11,39,17
01/04/2018,78444,14,38,19
01/04/2018,78451,14,37,19
01/04/2018,78455,14,38,19
01/04/2018,78460,13,36,20
01/04/2018,78464,7,40,15
01/04/2018,78465,13,39,17
01/04/2018,78466,15,38,19
01/04/2018,78470,7,40,15
01/04/2018,78472,8,40,15
01/04/2018,78474,13,39,17
01/04/2018,78475,13,38,17
01/04/2018,78478,8,40,15
01/04/2018,78481,17,37,19
01/04/2018,78484,16,37,19
01/04/2018,78486,10,40,15
01/04/2018,78490,12,39,19
01/04/2018,78497,10,40,15
01/04/2018,78498,16,38,19
01/04/2018,78499,7,40,15
01/04/2018,78501,15,36,20
01/04/2018,78502,17,37,19
01/04/2018,78503,14,37,19
01/04/2018,78505,13,39,17
01/04/2018,78506,8,40,15
01/04/2018,78513,11,40,17
01/04/2018,78516,9,40,14
01/04/2018,78517,9,40,15
01/04/2018,78518,13,39,19
01/04/2018,78520,13,40,17
01/04/2018,78522,9,40,15
01/04/2018,78524,15,38,19
01/04/2018,78528,16,36,19
01/04/2018,78530,15,38,19
01/04/2018,78531,17,37,19
01/04/2018,78536,14,36,20
01/04/2018,78537,8,40,15
01/04/2018,78545,13,39,19
01/04/2018,78548,9,40,17
01/04/2018,78550,12,39,19
01/04/2018,78551,19,38,20
01/04/2018,78557,9,40,14
01/04/2018,78558,14,38,19
01/04/2018,78559,13,38,19
01/04/2018,78561,10,40,17
01/04/2018,78562,11,40,17
01/04/2018,78564,8,40,15
01/04/2018,78565,14,38,19
01/04/2018,78567,16,36,20
01/04/2018,78569,8,40,15
01/04/2018,78571,14,38,19
01/04/2018,78575,12,40,19
01/04/2018,78576,10,40,17
01/04/2018,78586,22,35,20
01/04/2018,78588,12,38,17
01/04/2018,78590,9,40,17
01/04/2018,78591,14,38,19
01/04/2018,78597,16,37,19
01/04/2018,78601,7,40,15
01/04/2018,78605,13,39,17
01/04/2018,78606,10,40,14
01/04/2018,78608,15,38,19
01/04/2018,78609,14,36,20
01/04/2018,78615,12,39,19
01/04/2018,78616,13,38,19
01/04/2018,78618,13,39,17
01/04/2018,78620,14,40,19
01/04/2018,78621,11,40,19
01/04/2018,78623,11,40,17
01/04/2018,78624,15,37,20
01/04/2018,78638,15,37,20
01/04/2018,78640,21,38,20
01/04/2018,78642,15,37,20
01/04/2018,78643,15,37,20
01/04/2018,78644,10,40,17
01/04/2018,78646,17,39,20
01/04/2018,78647,16,37,19
01/04/2018,78650,18,37,19
01/04/2018,78653,11,39,17
01/04/2018,78655,9,40,15
01/04/2018,78668,14,37,19
01/04/2018,78672,15,38,19
01/04/2018,78674,13,39,19
01/04/2018,78677,15,37,19
01/04/2018,78681,13,39,19
01/04/2018,78683,11,39,17
01/04/2018,78686,19,38,20
01/04/2018,78688,11,40,19
01/04/2018,91001,11,40,14
01/04/2018,91016,10,40,14
01/04/2018,91017,11,40,17
01/04/2018,91021,17,40,19
01/04/2018,91022,10,40,14
01/04/2018,91027,23,38,24
01/04/2018,91035,9,40,15
01/04/2018,91037,18,39,19
01/04/2018,91038,14,40,15
01/04/2018,91041,16,40,19
01/04/2018,91044,20,39,20
01/04/2018,91045,18,40,19
01/04/2018,91047,16,40,17
01/04/2018,91064,22,39,20
01/04/2018,91067,10,40,14
01/04/2018,91069,10,40,15
01/04/2018,91075,11,40,15
01/04/2018,91079,11,40,15
01/04/2018,91080,14,40,15
01/04/2018,91081,12,40,15
01/04/2018,91085,15,40,17
01/04/2018,91086,23,39,20
01/04/2018,91093,10,40,17
01/04/2018,91095,16,40,17
01/04/2018,91097,20,36,22
01/04/2018,91098,10,40,15
01/04/2018,91099,14,40,15
01/04/2018,91100,13,40,15
01/04/2018,91103,20,40,20
01/04/2018,91105,14,40,17
01/04/2018,91106,14,40,17
01/04/2018,91109,12,40,15
01/04/2018,91111,13,40,19
01/04/2018,91112,10,40,15
01/04/2018,91114,20,37,22
01/04/2018,91115,15,40,19
01/04/2018,91121,11,40,15
01/04/2018,91122,15,40,19
01/04/2018,91129,15,40,17
01/04/2018,91130,11,40,15
01/04/2018,91131,10,40,14
01/04/2018,91132,14,40,17
01/04/2018,91135,17,40,17
01/04/2018,91136,21,38,20
01/04/2018,91137,11,40,15
01/04/2018,91145,8,40,15
01/04/2018,91148,13,40,15
01/04/2018,91156,17,40,19
01/04/2018,91159,19,40,19
01/04/2018,91161,23,38,22
01/04/2018,91174,24,39,20
01/04/2018,91175,9,40,15
01/04/2018,91179,21,39,19
01/04/2018,91180,13,40,15
01/04/2018,91182,25,39,20
01/04/2018,91184,13,40,15
01/04/2018,91186,13,40,17
01/04/2018,91191,20,36,24
01/04/2018,91195,14,40,17
01/04/2018,91198,14,40,15
01/04/2018,91200,10,40,15
01/04/2018,91201,22,38,22
01/04/2018,91204,22,40,20
01/04/2018,91207,16,40,19
01/04/2018,91215,20,37,22
