Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total retour à domicile;Total Décès;Code région;Code ISO 3166 de la zone;Nom région;Nom département;Sexe;geo_point_2d;HospConv;SSR_USLD;autres;Nb Quotidien Admis Hospitalisation;Nb Quotidien Admis Réanimation;Nb Quotidien Décès;Nb Quotidien Retour à Domicile
29;2022-12-12;104;9;3316;432;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;74.0;19.0;2.0;;;;
29;2022-12-18;119;10;3368;438;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;86.0;21.0;2.0;;;;
56;2022-12-18;63;1;3102;350;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;50.0;11.0;1.0;;;;
22;2022-12-21;73;0;2665;248;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443, -2.86206319142;63.0;9.0;1.0;;;;
35;2022-12-21;195;7;5073;547;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366, -1.63554809717;162.0;20.0;6.0;;;;
35;2022-03-10;155;12;3144;426;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366, -1.63554809717;85.0;56.0;2.0;;;;
29;2022-03-14;147;5;1339;181;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;53.0;85.0;4.0;;;;
35;2022-03-15;144;10;3061;547;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;90.0;41.0;3.0;;;;
22;2022-08-03;41;0;2128;221;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443, -2.86206319142;31.0;4.0;6.0;;;;
29;2023-03-06;42;3;3869;476;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;26.0;13.0;0.0;;;;
56;2023-03-06;20;0;3369;369;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;13.0;7.0;0.0;;;;
22;2023-03-09;36;1;5526;551;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443, -2.86206319142;19.0;0.0;16.0;2;0;0;1
35;2022-10-25;116;2;4729;527;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366, -1.63554809717;99.0;14.0;1.0;;;;
35;2022-10-29;121;13;4653;688;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;99.0;9.0;0.0;;;;
22;2022-10-31;85;1;4544;503;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443, -2.86206319142;66.0;6.0;12.0;12;0;3;2
56;2022-11-04;54;1;2794;439;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;45.0;8.0;0.0;;;;
29;2022-11-07;89;8;3145;423;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;58.0;20.0;3.0;;;;
29;2022-11-18;78;10;3206;425;53;FRA;Bretagne;Finistère;Homme;48.2628706879, -4.05692098846;46.0;20.0;2.0;;;;
22;2022-11-20;30;3;2192;271;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;26.0;1.0;0.0;;;;
56;2021-12-03;28;3;1228;202;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;18.0;6.0;1.0;;;;
29;2021-12-04;36;2;666;109;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;20.0;13.0;1.0;;;;
29;2021-12-07;44;2;669;111;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;26.0;14.0;2.0;;;;
29;2021-12-12;113;11;1426;318;53;FRA;Bretagne;Finistère;Tous;48.2628706879, -4.05692098846;65.0;31.0;6.0;10;0;1;0
29;2021-12-14;56;2;679;117;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;33.0;19.0;2.0;;;;
22;2021-12-15;22;1;800;117;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443, -2.86206319142;15.0;6.0;0.0;;;;
29;2021-12-18;53;2;696;119;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;26.0;23.0;2.0;;;;
56;2021-12-21;53;8;1273;207;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;28.0;12.0;5.0;;;;
29;2021-12-23;49;3;714;122;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;26.0;18.0;2.0;;;;
29;2021-12-27;51;3;722;125;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;29.0;17.0;2.0;;;;
56;2021-12-27;53;4;1294;210;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;29.0;15.0;5.0;;;;
56;2021-12-28;60;14;1320;285;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;38.0;8.0;0.0;;;;
22;2022-01-02;31;5;753;160;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;19.0;4.0;3.0;;;;
22;2023-01-17;61;2;5370;543;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443, -2.86206319142;55.0;3.0;1.0;3;0;0;9
22;2023-01-18;33;0;2840;250;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443, -2.86206319142;30.0;2.0;1.0;;;;
35;2023-01-21;86;3;5395;575;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366, -1.63554809717;62.0;17.0;4.0;;;;
22;2023-01-28;22;0;2862;252;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443, -2.86206319142;20.0;1.0;1.0;;;;
22;2022-11-29;50;1;2223;272;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;44.0;5.0;0.0;;;;
56;2022-12-02;98;3;5971;802;53;FRA;Bretagne;Morbihan;Tous;47.8441455862, -2.8088066223;77.0;17.0;1.0;21;1;1;15
56;2022-12-06;43;3;2904;447;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;35.0;5.0;0.0;;;;
35;2022-12-12;310;16;9906;1260;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366, -1.63554809717;256.0;26.0;12.0;55;1;2;8
56;2022-12-13;49;2;2927;451;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;44.0;3.0;0.0;;;;
22;2022-12-14;77;0;2595;244;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443, -2.86206319142;55.0;21.0;1.0;;;;
35;2022-12-15;142;18;4909;718;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366, -1.63554809717;110.0;12.0;2.0;;;;
29;2022-12-18;171;9;3350;302;53;FRA;Bretagne;Finistère;Femme;48.2628706879, -4.05692098846;122.0;38.0;2.0;;;;
22;2022-12-22;63;2;2374;284;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443, -2.86206319142;56.0;5.0;0.0;;;;
29;2022-12-22;356;17;6954;762;53;FRA;Bretagne;Finistère;Tous;48.2628706879, -4.05692098846;276.0;59.0;4.0;53;2;3;27
56;2022-12-23;81;0;3114;353;53;FRA;Bretagne;Morbihan;Femme;47.8441455862, -2.8088066223;68.0;12.0;1.0;;;;
29;2022-12-24;349;22;7015;765;53;FRA;Bretagne;Finistère;Tous;48.2628706879, -4.05692098846;258.0;65.0;4.0;14;0;0;23
56;2022-12-26;62;2;3000;455;53;FRA;Bretagne;Morbihan;Homme;47.8441455862, -2.8088066223;57.0;3.0;0.0;;;;
